Name,ConflictStatus,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines
Millington Bank,Active,,,To Discuss,,,1311
Tiht Commercial,Active,,,To Discuss,,,277
Trump Central Park West,Active,,,To Discuss,,,316
Dt Marks VAncouver,Active,,,To Discuss,,,"115,114"
Essential Consultants,Unclear,,,To Discuss,,"https://www.citizen.org/sites/default/files/may_2018_cohen_complaint_final.pdf,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html",
Trump Productions (Formerly Rancho Lien),Active,,,To Discuss,,,"504,505"
Federal Election Commission,Unclear,,,To Discuss,,"https://www.washingtonpost.com/politics/new-york-files-suit-against-president-trump-alleging-his-charity-engaged-in-illegal-conduct/2018/06/14/c3cbf71e-6fc9-11e8-bd50-b80389a4e569_story.html?utm_term=.4ceb5b79cb06,https://www.npr.org/2018/06/14/619959270/new-yorks-attorney-general-sues-the-trump-foundation,https://www.npr.org/2018/06/14/619974462/n-y-attorney-general-files-suit-against-trump-foundation,https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-sues-trump-foundation-what-might-happen-n883901",
JPMorgan High Yield,Unclear,,,To Discuss,,,
Dt Marks Worli,Active,,,To Discuss,,,"117,116"
Trump Panama Hotel Management,Active,,,To Discuss,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage,http://www.businessinsider.com/trump-organization-panama-hotel-conflict-2018-3,https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage","494,495"
Dt Home Marks International,Active,,,To Discuss,,,"77,76"
Fifty Seventh Street Associates,Unclear,,,To Discuss,,,138
EV JV Partnership,Unclear,,,To Discuss,,,
Ecolab Inc,Resolved,,,To Discuss,,,"955,956"
Ford Motors,Unclear,"While Trump repeatedly singled out Ford Motors for outsourcing American manufacturing jobs, according to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns shares (worth up to $1 million) in the Detroit auto giant. Google, which Trump accused of suppressing negative Hillary Clinton news, is in his portfolio, as is Berkshire Hathaway, run by one of his fiercest critics, Warren Buffett. Though he tried to start a boycott against Apple AAPL +0.55% in February -- after the iPhone maker refused to help the Federal Bureau of Investigation break into one of the San Bernardino shooters’ phone -- Trump held onto his shares in the tech company, which were worth as much as $2 million in May.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Trump Equitable Fifth Avenue Company,Active,,,To Discuss,,https://www.nytimes.com/2016/08/21/us/politics/donald-trump-debt.html,344
Dartmouth Village,Active,,,To Discuss,,,863
Centerview Capital,Resolved,,,To Discuss,,,"1211,unnamed record"
Brookfield Asset Management,Unclear,,,To Discuss,,"https://www.nytimes.com/2018/05/17/nyregion/kushner-deal-qatar-666-5th.html,https://www.nytimes.com/2018/07/11/business/jared-kushner-business-washington.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://www.bloomberg.com/amp/news/articles/2018-08-04/kushners-give-up-control-of-manhattan-tower-to-save-themselves",
Parc Consulting,Active,,,To Discuss,,,196
Trump Management,Active,,,To Discuss,,,386
Think Like A Champion,Active,,,To Discuss,,,273
Dimensional Fund Advisors,Active,,,To Discuss,,,"875,877"
Trump Restaurants,Active,,,To Discuss,,,509
Related Companies,Unclear,"Related Companies purchased $80 million of stock in Ladder Capital, a Manhattan-based real estate investment trust best known for issuing more than $250 million in loans to the Trump Organization.",,To Discuss,,https://therealdeal.com/2017/02/28/related-companies-makes-80m-stock-buy-in-trumps-second-largest-lender/,
Trump Entrepreneur Initiative (Formerly Trump University Ca),Active,,,To Discuss,,"https://www.nytimes.com/2016/11/06/us/politics/donald-trump-business-tax-records.html?mtrref=undefined,https://www.washingtonpost.com/politics/source-trump-nearing-settlement-in-trump-university-fraud-cases/2016/11/18/8dc047c0-ada0-11e6-a31b-4b6397e625d0_story.html,https://www.nytimes.com/2016/12/21/business/economy/trump-organization-labor-unions-hotels.html","342,343"
Rockwell Automation,Resolved,,,To Discuss,,,"1499,1500,1501,1502"
Merck,Unclear,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
THC Jeddah Hotel Manager,Resolved,,,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"245,244"
Normandy Real Estate Partners,Unclear,,,To Discuss,,https://www.bloomberg.com/amp/news/articles/2018-03-13/kushner-conflict-cloud-hovers-over-brooklyn-sale-linked-to-japan,
Trump Payroll Chicago,Active,,,To Discuss,,,500
D B Pace Acquisition,Active,,,To Discuss,,,"39,40"
Pimco Enhanced Short Mat Active ETF,Unclear,,,To Discuss,,,1442
Trump Marks Chicago,Active,,,To Discuss,,,"403,404"
Trump: Surviving At The Top,Active,,,To Discuss,,,545
Donald J. Trump Foundation,Unclear,,missing status,To Discuss,,"https://www.buzzfeed.com/paulmcleod/trump-foundation-received-150000-donation-in-exchange-for-20?utm_term=.hwJDzPkYww#.exE32wrn11,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,https://www.nytimes.com/2018/04/09/us/politics/trump-mueller-ukraine-victor-pinchuk.html,https://www.washingtonpost.com/politics/new-york-files-suit-against-president-trump-alleging-his-charity-engaged-in-illegal-conduct/2018/06/14/c3cbf71e-6fc9-11e8-bd50-b80389a4e569_story.html?utm_term=.4ceb5b79cb06,https://www.npr.org/2018/06/14/620103280/new-york-attorney-general-sues-trump-foundation-and-its-board-of-directors,https://www.npr.org/2018/06/14/619959270/new-yorks-attorney-general-sues-the-trump-foundation,https://www.npr.org/2018/06/14/619974462/n-y-attorney-general-files-suit-against-trump-foundation,https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-sues-trump-foundation-what-might-happen-n883901,https://www.nbcnews.com/think/opinion/trump-foundation-lawsuit-highlights-how-private-charities-can-be-used-ncna883516,https://www.cnn.com/2018/06/14/opinions/new-york-ag-lawsuit-trump-opinion-dantonio/index.html,https://edition.cnn.com/2018/06/19/politics/trump-foundation-q-and-a/",54
Trump Marks Batumi,Active,,,To Discuss,,,"397,398"
THC Sales & Marketing,Active,,,To Discuss,,,"253,252"
"1290 Avenue Of The Americas, A Tenancy-In-Common",Active,,,To Discuss,,https://www.nytimes.com/2016/08/21/us/politics/donald-trump-debt.html,1
T International Realty (AKA Trump International Realty),Active,,,To Discuss,,,222
Djt Land Holdings,Active,,,To Discuss,,,46
State of Utah,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
Cadre Astoria,Unclear,,,To Discuss,,,
State Tower of Syracuse Associates,Active,,,To Discuss,,,"1557,1556,1558,unnamed record"
State of Massachusetts,Resolved,,,To Discuss,,,1288
Met Transprtn Auth NY Revenue Rfdg Transprtn Ser C,Unclear,,,To Discuss,,,1294
PIMCO,Resolved,,,To Discuss,,,"1443,1445"
New York St Dorm Auth Ser E,Unclear,,,To Discuss,,,
Pimco Rae Fundamental Advantage Plus Fund Class P,Unclear,,,To Discuss,,,1444
Carl C. Icahn,Unclear,"Mr. Trump has forged relationships with powerful political figures in Indonesia, where such connections are crucial to pushing through big projects. That tangle of relationships includes an Indonesian business partner who aspires to high office; a powerful politician accused of trying to extort billions of dollars from an American mining company; as well as Mr. Trump’s adviser on regulatory issues, Carl C. Icahn, who is a top shareholder in the same mining company.",,To Discuss,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,
Trump 845 Un,Active,,,To Discuss,,,"299,300"
Country of Vietnam,Unclear,,,To Discuss,,https://www.propublica.org/article/trump-inc-podcast-vietnam-casino,
Monmouth Mall 2,Resolved,,,To Discuss,,,"1315,1316"
Royal Bank of Canada,Unclear,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Trump International Management,Unclear,,status missing,To Discuss,,"http://www.foxnews.com/politics/2018/02/21/trump-jr-steals-spotlight-from-canadas-trudeau-as-india-visits-coincide.html,https://www.washingtonpost.com/world/trump-jr-to-give-foreign-policy-speech-while-on-unofficial-business-trip-to-india/2018/02/19/37d00c37-d9e8-40c4-934b-0a26b8160dcd_story.html?utm_term=.8a66e23946b3,https://www.fastcompany.com/40526424/trump-organization-revives-project-in-dominican-republic-roiling-local-politics,http://www.newsweek.com/if-trump-organization-launches-dominican-republic-projects-it-could-be-grounds-801765",372
Florham Park Developers,Resolved,,,To Discuss,,,1008
Trump Scotsborough Square,Active,,,To Discuss,,,"518,517"
William Trump Medical Fund LLC,Unclear,,status missing,To Discuss,,,559
General Services Administration,Unclear,,,To Discuss,,"https://www.gsa.gov/portal/content/172963,http://m.govexec.com/excellence/promising-practices/2016/11/gsas-trump-hotel-lease-debacle/133424/,https://www.cnn.com/2018/02/03/politics/trump-hotel-gsa/index.html,https://www.washingtonpost.com/business/2018/07/30/trump-intervenes-fbi-headquarters-project/?utm_term=.75781ffbd5ab,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992",
New Jersey Renewable Power,Resolved,,,To Discuss,,,"1329,1330"
Coronet Hall,Active,,,To Discuss,,,33
Galbreath Columbus Circle Development Associates,Active,,,To Discuss,,,143
KFF 29 Second Avenue,Active,,,To Discuss,,,"700,1214,1215,unnamed record"
Trump Soho,Active,,,To Discuss,,https://www.mcclatchydc.com/news/nation-world/article213846794.html,519
"Colonial Heights, LLC",Active,,,To Discuss,,,846
Jupiter Golf Club,Active,,,To Discuss,,https://www.washingtonpost.com/politics/the-three-biggest-surprises-in-the-trump-organizations-financial-filings/2018/05/21/db2f0420-5c94-11e8-9ee3-49d6d4814c4c_story.html?utm_term=.64de8850a39d,"166,167"
Columbia Windows,Resolved,,,To Discuss,,,"853,854"
Signature Bank New York NY,Unclear,,,To Discuss,,,"1530,1531,1532,1533"
Trump National Golf Club - Washington Dc,Active,,,To Discuss,,,"479,480"
Tngc Jupiter,Active,,,To Discuss,,,"287,288"
Fifth Associates,Unclear,,,To Discuss,,,993
Quail Ridge,Unclear,"Quail Ridge is a Kushner Cos. apartment complex acquired last year in Plainsboro, N.J.",,To Discuss,,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,
"VILLAGE KF 4-9-10 Associates, LLC",Active,,,To Discuss,,,"658,674,675,706,940,1237,1238,1239,1240,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Berkshire Hathaway,Unclear,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns shares in Berkshire Hathaway, run by one of his fiercest critics, Warren Buffett.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Dt Marks Pune,Active,,,To Discuss,,,"107,106"
Durham Cnty N C Rfdg,Unclear,,,To Discuss,,,936
Shore Haven Management,Active,,,To Discuss,,,213
CK Livingston Esplanade,Resolved,,,To Discuss,,,"837,838"
Investors Savings Bank,Active,,,To Discuss,,,1056
Trump Marks Real Estate,Active,,,To Discuss,,,"449,450"
West Palm Operations,Active,,,To Discuss,,,554
All County Building Supply &Amp; Maintenance,Active,,,To Discuss,,,17
Kay & ARR Realty Associates,Active,,,To Discuss,,,1169
B Plaza Realty,Resolved,,,To Discuss,,,20
New York Community Bank,Active,,,To Discuss,,,1339
Donald J. Trump Company,Active,,,To Discuss,,,53
Thrive Capital Partners II,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
Leeds Equity Partners,Resolved,,,To Discuss,,,unnamed record
Vreeland Avenue Associates,Active,,,To Discuss,,,"unnamed record,unnamed record,unnamed record,unnamed record"
"Starrett City Associates, L.P.",Active,,,To Discuss,,,216
THC Shenzhen Hotel Manager,Active,,,To Discuss,,,"257,256"
KC Dumbo Hotel,Active,,,To Discuss,,,"1170,1171,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
MMLL,Active,,,To Discuss,,,"1313,1314,unnamed record,unnamed record"
666 KC Management,Unclear,,See all notes in Ethics Doc Lines for both Jared & Ivanka. - CS,To Discuss,,,"737,738,unnamed record,unnamed record"
Trump Briarcliff Manor Development (Formerly Briar Hall Development),Active,,,To Discuss,,,"309,308"
Dt Tower Gurgaon,Active,,,To Discuss,,,"119,118,930"
Trump International Hotel DC,Unclear,,,To Discuss,,"https://www.gsa.gov/portal/content/172963,http://www.politico.com/story/2016/06/trump-dc-hotel-investigation-labor-department-224678,https://www.washingtonpost.com/business/capitalbusiness/2016/11/18/9da9c572-ad18-11e6-977a-1030f822fc35_story.html?tid=pm_business_pop&amp;utm_term=.e1df6827c09c,http://m.govexec.com/excellence/promising-practices/2016/11/gsas-trump-hotel-lease-debacle/133424/,http://www.huffingtonpost.com/entry/donald-trump-bahrain_us_583de2a5e4b0c33c8e1282d0?inyv55o07g8horms4i,https://www.nytimes.com/2016/12/21/business/economy/trump-organization-labor-unions-hotels.html,https://www.cnn.com/2018/06/07/politics/court-case-emoluments-foreign-payments-federal-judge-trump-businesses/index.html,https://www.washingtonpost.com/graphics/2018/politics/trump-hotel-events/?noredirect=on&utm_term=.e324edc7d621,https://www.washingtonpost.com/politics/the-three-biggest-surprises-in-the-trump-organizations-financial-filings/2018/05/21/db2f0420-5c94-11e8-9ee3-49d6d4814c4c_story.html?utm_term=.64de8850a39d,https://www.marketwatch.com/story/philippine-government-party-to-be-held-at-trumps-dc-hotel-2018-04-19,https://www.cnn.com/2018/03/28/politics/emoluments-lawsuit-trump-hotel/index.html,https://wamu.org/story/18/03/21/summons-issued-trump-emoluments-case/,https://www.washingtonpost.com/local/public-safety/obscure-no-more-the-emoluments-clause-is-back-again-in-a-federal-court/2018/06/09/cf052832-6a72-11e8-9e38-24e693b38637_story.html?utm_term=.4e5171f2a016,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,https://www.washingtonpost.com/politics/congressional-democrats-seek-ruling-against-trump-to-enforce-emoluments-clause/2018/06/07/2469538e-6a55-11e8-bea7-c8eb28bc52b1_story.html?utm_term=.d25a12693375,https://www.npr.org/2018/06/12/619101573/ivanka-trump-and-jared-kushner-earned-more-than-80-million-last-year-filings-sho,https://www.cnn.com/2018/06/11/politics/trump-emoluments-hearing/index.html,https://www.cnn.com/2018/02/03/politics/trump-hotel-gsa/index.html,https://sunlightfoundation.com/2018/02/02/this-week-in-conflicts-of-interest-a-resignation-disclosure-required-and-a-chance-to-meet-donald-trump-jr/,http://www.newsweek.com/ocasio-cortez-impeach-trump-997615?amp=1,https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,https://www.wnycstudios.org/story/trump-inc-podcast-government-employees-spend-your-money-trump-hotels,https://www.cnn.com/2018/07/25/politics/emoluments-case-donald-trump-washington-dc/index.html,https://www.washingtonpost.com/politics/federal-judge-allows-emoluments-case-against-trump-to-proceed/2018/07/25/c8070206-8fa4-11e8-8322-b5482bf5e0f5_story.html?utm_term=.0773c88e9386,https://www.npr.org/2018/07/25/632300960/federal-lawsuit-against-president-trumps-business-interests-allowed-to-proceed,https://www.washingtonpost.com/politics/trump-has-embraced-the-big-money-donor-world-he-once-shunned/2018/06/30/0ef53478-7630-11e8-9780-b1dd6a09b549_story.html?utm_term=.8ace1c62b560,https://www.washingtonpost.com/business/2018/07/30/trump-intervenes-fbi-headquarters-project/?utm_term=.75781ffbd5ab,https://www.washingtonpost.com/news/morning-mix/wp/2018/07/27/trumps-emoluments-battle-how-a-scholars-journey-through-200-years-of-dictionaries-helped-win-a-historic-ruling/?utm_term=.25bb86879b9b,https://amp.fastcompany.com/90178695/how-trumps-dc-hotel-works-to-help-swamp-the-drain,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.mcclatchydc.com/news/politics-government/white-house/article216249755.html",
Toronto Dominion Bank,Unclear,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
FBI,Unclear,,,To Discuss,,"https://www.nytimes.com/2018/07/26/business/ken-kurson-jared-kushner.html,https://www.washingtonpost.com/business/2018/07/30/trump-intervenes-fbi-headquarters-project/?utm_term=.75781ffbd5ab",
Trump Ocean,Unclear,,,To Discuss,,,"483,484"
Felmore Associates,Active,,,To Discuss,,,987
Trump Pageants,Active,,,To Discuss,,,490
BFPS Ventures,Active,,,To Discuss,,,"774,775"
THC Barra Hotelaria,Active,,,To Discuss,,,229
Trump Home Marks,Active,,,To Discuss,,,"358,357"
Scotland Acquisitions,Active,,,To Discuss,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.washingtonpost.com/politics/the-three-biggest-surprises-in-the-trump-organizations-financial-filings/2018/05/21/db2f0420-5c94-11e8-9ee3-49d6d4814c4c_story.html?utm_term=.64de8850a39d,https://www.mcclatchydc.com/news/politics-government/white-house/article214265614.html",210
P.V. Development,Active,,,To Discuss,,,"1428,1429,1441,unnamed record,unnamed record,unnamed record"
Trump Carousel,Active,,,To Discuss,,,"315,314"
Kushner Family Foundation,Active,,,To Discuss,,,1224
Trump Wine Marks,Active,,,To Discuss,,,"541,540"
Trump Marks,Active,,,To Discuss,,,"390,388,389"
China Trademark,Active,,,To Discuss,,"https://www.cnn.com/2018/06/07/politics/court-case-emoluments-foreign-payments-federal-judge-trump-businesses/index.html,https://www.nytimes.com/2018/05/28/business/ivanka-trump-china-trademarks.html",31
Trump Marks Mumbai,Active,,,To Discuss,,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,"429,430"
Hospital for Special Surgery,Unclear,"The foundation gave at least $326,000 to New York Presbyterian Hospital and $250,750 to its sister institution, the Hospital for Special Surgery, which is also based in New York City.",,To Discuss,,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,
"Mecklenburg County, NC",Resolved,,,To Discuss,,,"1289,1290"
Trump Vineyard Estates (Formerly Eric Trump Land Holdings),Active,,,To Discuss,,,"533,534,535"
Thrive Partners II GP,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
Walmart,Unclear,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Caribusiness Mre,Active,,,To Discuss,,,"27,26"
Wmtmf,Unclear,,status missing,To Discuss,,,561
Panama Ocean Club Management,Active,,,To Discuss,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage,http://www.businessinsider.com/trump-organization-panama-hotel-conflict-2018-3,https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage","192,193"
Trump National Golf Club - Charlotte,Active,,,To Discuss,,,473
Easton North Associates,Active,,,To Discuss,,,942
Ishares 20+ Year Treas Bond ETF,Unclear,,,To Discuss,,,1060
Storage 106,Active,,,To Discuss,,,218
Trump Florida,Active,,,To Discuss,,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html?utm_term=.a6cf0ab24f58,"350,349"
K 26 Journal Square,Active,,,To Discuss,,,"1135,1134,1163,1165,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
United Way,Unclear,"The Trump Foundation gave most of its money to traditional philanthropic causes, including the United Way, a handful of schools, and more than 10 museums.",,To Discuss,,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,
Sixty Capital Fund,Resolved,,,To Discuss,,,"1538,1539"
Trump Marks Mortgage,Active,,,To Discuss,,,"427,428"
New York St Dorm Auth Revenues St Supported Debt Third Gen Resolution St UnIV Edl Facs Ser A,Unclear,,,To Discuss,,,1348
Trump Marks Waikiki,Active,,,To Discuss,,,"463,464"
Global Gateway Alliance,Resolved,,,To Discuss,,,1028
Cpw Pt Partners,Active,,,To Discuss,,,37
Think Big And Kick Ass,Active,,,To Discuss,,,271
Dt Marks Dubai,Active,,,To Discuss,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","95,94"
Delaware Funds,Active,,,To Discuss,,,"867,869"
Nuveen Enhanced Amt-Free Municipal CredIT Opportunities Fund,Unclear,,,To Discuss,,,1388
MNC Group,Unclear,"The Trump Organization’s partner in a lavish Indonesian development project boasting a six-star hotel and golf course with President Trump’s name has brought on a new ally: a Chinese state-owned company. The Indonesian partner, the MNC Group, said it had struck a deal with an arm of Metallurgical Corporation of China, a state-owned construction company, to build a theme park next door to the planned Trump properties.",,To Discuss,,"https://mobile.reuters.com/article/amp/idUSKCN1J12RP,http://thehill.com/homenews/house/389571-more-than-60-dem-lawmakers-demand-ethics-investigation-into-trumps,https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365",
Dogan Holding,Unclear,"The twinned Trump Towers bear the president-elect’s name in Istanbul. Dogan Holding, a massive media and real estate conglomerate in Turkey, owns the conjoined buildings and pays the Trump Organization to license the Trump name and brand. It can now rely on that name and brand to be sitting in the Oval Office and singing its praises to President Erdogan.",,To Discuss,,http://www.huffingtonpost.com/entry/donald-trump-turkey-business_us_5836188ae4b01ba68ac41d9f?,
Ownership Rights,Active,,,To Discuss,,,857
"OAKWOOD CHICAGO HOLDING, LLC",Unclear,,,To Discuss,,,
The Obsidian Fund,Unclear,,,To Discuss,,,unnamed record
Dt App Warrant Holding,Active,,,To Discuss,,,"60,59"
K Gaia Village 1 Associates,Active,,,To Discuss,,,"1144,659,666,698,707,708,718,725,751,1145,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
How To Get Rich,Active,,,To Discuss,,,152
Trump Drinks Israel,Active,,,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"334,335"
THC Miami Restaurant Hospitality,Active,,,To Discuss,,,"247,246"
Dana-Farber Cancer Institute,Unclear,"An estimated 36% of the foundation’s money went to roughly 100 organizations promoting healthcare, the Forbes examination revealed. The Trump Foundation gave more than $465,000 to both the Dana-Farber Cancer Institute and Operation Smile, which offers free surgeries to children born with cleft palates in developing countries.",,To Discuss,,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,
JKM Capital,Resolved,,,To Discuss,,,"1122,1123"
Citibank,Unclear,,,To Discuss,,https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,
Thrive Capital Partners III,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
