Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior
Wells Fargo,Resolved,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"Unnamed record,Unnamed record",,,
JP Morgan Chase,Unclear,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
Trump Marks Dubai,Active,4,,,Approved,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","406,405",,,
Golf Productions,Active,0,,Active on Donald '17. Resolved on Ivanka '17.,Approved,,,"146,147",,,
Dt Jeddah Technical Services Manager,Resolved,1,,,Approved,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"83,82",,,
KCOF-215 Moore,Active,0,,,Approved,,,1189,,,
Deutsche Bank,Active,1,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,871,,,
Trump Village Construction,Active,0,,,Approved,,,532,,,
Hudson Waterfront Associates Iv,Active,0,,,Approved,,,157,,,
Tmg,Active,0,,,Approved,,,282,,,
Trump National Golf Club - Hudson VAlley,Unclear,0,,status missing,Approved,,,476,,,
Wallkill,Unclear,0,,,Approved,,,,,,
Ultimate Air,Active,0,,,Approved,,,551,,,
Chicago Unit Acquisition,Active,0,,,Approved,,,30,,,
Trump Ferry Point,Active,0,,,Approved,,,"348,347",,,
Trump Jets (Formerly Sentient Jets),Resolved,0,,Listed in disclosure as dissolved as of 11/9/16,Approved,,,"373,375,374",,,
Google,Unclear,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns shares in Google.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
Dt Tower Kolkata,Active,0,,,Approved,,,"125,124",,,
THC Qatar Hotel Manager,Resolved,1,,,Approved,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"249,248",,,
Philippine Government,Unclear,1,,,Approved,,https://www.marketwatch.com/story/philippine-government-party-to-be-held-at-trumps-dc-hotel-2018-04-19,,,,
Trump International Development,Active,3,,,Approved,,"https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365,https://www.washingtonpost.com/news/morning-mix/wp/2018/07/27/trumps-emoluments-battle-how-a-scholars-journey-through-200-years-of-dictionaries-helped-win-a-historic-ruling/?utm_term=.25bb86879b9b,https://abcnews.go.com/amp/Business/wireStory/trumps-scottish-resort-expand-raising-ethics-concerns-56822706","361,362",,,
IDB Bank,Active,0,,,Approved,,,1051,,,
Trump International Golf Club,Active,1,,,Approved,,https://www.politico.com/story/2018/08/13/trump-white-house-staff-golf-clubs-perks-776098,363,,,
Janus Henderson Investors,Active,0,,,Approved,,,1113,,,
Sixty-Six West Associates,Active,0,,,Approved,,,"1543,1542",,,
Artwork,Active,0,,,Approved,,,759,,,
KF Middle River,Active,0,,,Approved,,,"1191,1194,1307,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Internal Revenue Service,Unclear,13,,,Approved,,"http://www.newsweek.com/where-trump-irs-tax-audit-letter-488904,https://www.washingtonpost.com/politics/new-york-files-suit-against-president-trump-alleging-his-charity-engaged-in-illegal-conduct/2018/06/14/c3cbf71e-6fc9-11e8-bd50-b80389a4e569_story.html?utm_term=.4ceb5b79cb06,https://www.npr.org/2018/06/15/620230403/legal-defense-funds-for-trump-allies-multiply,https://www.npr.org/2018/06/14/619959270/new-yorks-attorney-general-sues-the-trump-foundation,https://www.npr.org/2018/06/14/619974462/n-y-attorney-general-files-suit-against-trump-foundation,https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-sues-trump-foundation-what-might-happen-n883901,https://edition.cnn.com/2018/06/19/politics/trump-foundation-q-and-a/,https://www.bloomberg.com/news/articles/2018-02-15/kushner-investors-said-to-be-subpoenaed-by-u-s-tax-authorities?utm_content=politics&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-politics,https://www.cnn.com/2018/06/28/politics/trump-irs-nominee-charles-rettig/index.html,http://www.newsweek.com/donald-trump-irs-nominee-hotel-999627?amp=1,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992,https://www.politico.com/magazine/story/2018/08/17/ivanka-trump-business-partner-justice-department-lawsuit-moshe-lax-219369",,,,
Westminster Title Associates,Resolved,0,,,Approved,,,"Unnamed record,Unnamed record",,,
3126 Corporation,Unclear,0,,missing status,Approved,,,2,,,
Trump Marks Stamford,Active,0,,,Approved,,,"453,454",,,
845 UN,Active,0,,,Approved,,,15,,,
THC Jeddah Hotel Advisor,Unclear,1,,to discuss,Approved,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"243,242",,,
Country Properties,Active,0,,,Approved,,,36,,,
Lfb Acquisition,Active,0,,,Approved,,,"172,173",,,
Office of Government Ethics,Unclear,1,,,Approved,,https://www.npr.org/2018/06/15/620230403/legal-defense-funds-for-trump-allies-multiply,,,,
Port Authority of New York & New Jersey,Resolved,0,,,Approved,,,"1461,1462",,,
Trump Marks Tampa,Active,0,,,Approved,,,"459,460",,,
Trump Ruffin,Active,0,,,Approved,,,"512,513,511",,,
Dt Dubai Ii Golf Manager,Active,4,,,Approved,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","75,74,899",,,
New York St Dorm Auth Sales Tax Revenue Rfdg Ser A,Unclear,0,,,Approved,,,1352,,,
West End Building Associates,Active,0,,,Approved,,,Unnamed record,,,
Never Give Up,Active,0,,,Approved,,,183,,,
New Jersey Renewable Power Corp,Resolved,0,,,Approved,,,1328,,,
State of Oregon,Resolved,0,,,Approved,,,"1422,1423",,,
State of Maryland,Resolved,0,,,Approved,,,1286,,,
Dsn Licensing (Formerly Trump Marks Network),Resolved,0,,dissolved as of 11/9/16,Approved,,,"58,57",,,
Dt Bali Hotel Manager,Active,1,,,Approved,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"64,63,893",,,
New York St Bonds,Unclear,0,,,Approved,,,"1370,1371,1372",,,
New York St Environ Facs Corp St Clean Wtr &Amp; Drinking Revolving Fdsnyc MUN Wtr A,Unclear,0,,,Approved,,,1359,,,
Landings Chicago,Unclear,0,,,Approved,,,,,,
FabFitFun,Resolved,0,,,Approved,,,"984,985",,,
Dt Marks Gurgaon,Active,0,,,Approved,,,"99,98",,,
New Puck Corp.,Unclear,0,,,Approved,,,"1332,1478,1331,1480,1333,1333 copy,1335,1335 copy",,,
Friends of IDF (Israel Defense Forces),Resolved,0,,,Approved,,,1013,,,
Trump National Golf Club - Los Angeles,Active,1,,,Approved,,https://www.mcclatchydc.com/news/politics-government/white-house/article216249755.html,"478,477",,,
New York State,Resolved,0,,,Approved,,,"1349,1351,1353,1355,1357,1358,1361,1363,1365,1367,1369,1373,1377,Unnamed record",,,
Met Transprtn Auth NY Revenue Transn Ser A,Unclear,0,,,Approved,,,1296,,,
Dt Marks Bali,Active,1,,,Approved,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"93,92",,,
Thrive Capital Partners,Active,0,,,Approved,,,"1226,Unnamed record,1225",,,
Lacey Township Building Corp.,Active,0,,,Approved,,,1241,,,
"Onondaga County, NY",Resolved,0,,,Approved,,,"1410,1411",,,
Trump World Productions,Active,0,,,Approved,,,"543,542",,,
Trump Chicago Residential,Active,0,,,Approved,,,"323,322",,,
Why We Want You To Be Rich,Active,0,,,Approved,,,558,,,
Owo Developer,Active,0,,,Approved,,,191,,,
Goldman Sachs,Resolved,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"1029,1030",,,
Trump Chicago Retail,Active,0,,,Approved,,,"325,324",,,
Excel Venture I,Active,0,,,Approved,,,"135,136",,,
Florida Properties Management,Active,0,,,Approved,,,141,,,
Eaton Vance,Active,0,,,Approved,,,"949,948,950",,,
Dt Bali Technical Services Manager,Active,1,,,Approved,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"66,65,895",,,
Crippled America,Active,0,,,Approved,,,38,,,
K 30 Journal Square,Active,1,,,Approved,,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"1140,704,1139,Unnamed record",,,
Shore Haven Shopping Center,Active,0,,,Approved,,,214,,,
Elmwood V. Associates,Active,0,,,Approved,,,"964,965,966,957,958,959,967,Unnamed record,Unnamed record,Unnamed record",,,
News Corp.,Resolved,0,,,Approved,,,"1378,1379",,,
Oakwood Garden Associates,Active,0,,,Approved,,,"1394,1395,1391,1392,1393,1396,Unnamed record,Unnamed record,Unnamed record",,,
Dt Marks Dubai Ii,Unclear,4,,Marked as Unclear by HN on 8/23/18. ,Approved,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","97,96",,,
Times Square Associates,Active,0,,Active on Ivanka '17.,Approved,,,"960,961,962,963,1253,1254,1255,1256,1398,1399,1400,1401,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Trump Marks New Rochelle,Active,0,,,Approved,,,"431,432",,,
Phillips 66,Unclear,1,"The connections to the energy industry doesn't stop there. The climate-change skeptic owns shares in Phillips 66 PSX -1.26% - a joint venture partner in the controversial Dakota Access pipeline, where demonstrations are ongoing, and in Kinder Morgan, another pipeline giant facing resistance for its plans to connect the Canadian oil sands to Vancouver, British Columbia.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
Trump Development Services,Active,0,,,Approved,,,"333,332",,,
T Express,Active,0,,,Approved,,,"220,221",,,
Monmouth Mall,Resolved,1,,,Approved,,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"1317,951,952,953,954,1318,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Think Like A Billionaire,Active,0,,,Approved,,,272,,,
Trump Marks Mattress,Active,0,,,Approved,,,"424,423",,,
Algonquin Associates,Unclear,0,,*Most of these are under the Route 10 Associates entity structure on the Kushner '17 disclosure. This may have been the original friendly name given before getting to the Route 10 Associates structure tree.,Approved,,,,,,
Trump Plaza,Active,0,,,Approved,,,"502,503",,,
JP Morgan Core Bond Fund Select,Unclear,0,,,Approved,,,1128,,,
Dt Lido Technical Services Manager,Active,3,,,Approved,,"https://mobile.reuters.com/article/amp/idUSKCN1J12RP,https://www.npr.org/2018/06/07/617310039/trump-organization-deals-in-asia-fuel-debate-on-emoluments-lawsuit,https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365","89,88,906",,,
Trump Payroll,Active,0,,,Approved,,,"499,Unnamed record",,,
Oakwood Chicago,Unclear,0,,,Approved,,,,,,
Nitto World,Active,0,,,Approved,,,185,,,
Trump Las Vegas Development,Active,0,,,Approved,,,381,,,
Djt Holdings,Active,0,,,Approved,,,"44,45",,,
This asset has been divested.,Unclear,0,,,Approved,,,,,,
K One Journal Square,Resolved,1,,,Approved,,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"1158,1156,1164,1407,1408,1409,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Metlife,Resolved,0,,,Approved,,,"1298,1299",,,
Faire Fund,Resolved,0,,,Approved,,,"1203,Unnamed record,Unnamed record",,,
Hudson Waterfront Associates Ii,Active,0,,,Approved,,,155,,,
WT 25 Columbia,Active,0,,,Approved,,,"697,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Sales Tax Asset Receivable Corp NY Rfdg Fiscal 2015 Ser A,Unclear,0,,,Approved,,,1511,,,
Square Mile Partners,Resolved,0,,,Approved,,,"1551,1553,Unnamed record,1552,1550,Unnamed record",,,
National Labor Relations Board,Unclear,3,"As a business owner, Pres. Trump has been involved in labor disputes that potentially could be brought to the National Labor Relations Board for intervention. Since taking office, he has appointed board leaders who have come under scrutiny for perceived business-friendly ties and potential ethics violations.",,Approved,,"https://www.nytimes.com/2016/12/21/business/economy/trump-organization-labor-unions-hotels.html,https://www.propublica.org/article/william-emanuel-nlrb-member-is-under-investigation-for-a-conflict-of-interest,https://www.bloomberg.com/news/articles/2018-02-14/trump-s-nlrb-scorned-by-grad-students",,,,
Djt Operations I,Active,0,,,Approved,,,48,,,
Donald J. Trump Revocable Trust,Active,1,,,Approved,,https://www.propublica.org/article/trump-pull-money-his-businesses-whenever-he-wants-without-telling-us,56,,,
Tw Venture I,Active,0,,,Approved,,,"548,547",,,
THC China Development,Active,0,,,Approved,,,232,,,
Hudson Waterfront Associates,Active,0,,,Approved,,,153,,,
Trump Endeavor 12,Active,0,,,Approved,,,"340,341",,,
Trump Las Vegas,Active,1,,,Approved,,https://www.nytimes.com/2016/12/21/business/economy/trump-organization-labor-unions-hotels.html,"378,379,380",,,
U.S. Department of Defense,Unclear,4,,,Approved,,"https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992,https://abcnews.go.com/Politics/trump-campaign-sell-space-force-gear-pick-design/story?id=57126814",,,,
THC Venture I,Active,0,,,Approved,,,"261,260",,,
NK 80 MAIDEN OWNER,Unclear,0,,,Approved,,,,,,
Merrill Lynch Credit Corporation D/B/A Merrill Lynch Home Loans,Active,0,,,Approved,,,176,,,
Penguin Random House,Active,1,"Ivanka Trump was also paid a $289,300 advance by Penguin Random House for her book, “Women Who Work,” which she donated to the Ivanka M. Trump Charitable Fund to distribute grants to support women and girls.",,Approved,,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,,,,
Mobile Payroll Construction,Active,0,,,Approved,,,"180,179",,,
Department of Homeland Security,Unclear,1,,,Approved,,https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,,,,
William J. Clinton Foundation,Unclear,1,"The Donald J. Trump Foundation gave away $10.9 million from 2001 to 2014, taking a scattershot approach to philanthropy with donations to more than 400 different charities, according to a Forbes analysis of 14 years of IRS documents. Among the notable recipients: the William J. Clinton Foundation, a state branch of the ACLU and a nonprofit run by the New York Times, which Trump routinely criticizes on Twitter. Only $2.8 million of that money came from Trump himself.",,Approved,,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,,,,
SoftBank Vision Fund,Unclear,1,"SoftBank Vision Fund, a technology investment vehicle that gets almost half of its $100 billion from the Saudi government's Public Investment Fund. The United Arab Emirates has put at least $15 billion into the Vision Fund through its sovereign wealth fund as well. In May 2018, Cadre, a real estate technology startup co-founded and partly owned by White House senior adviser Jared Kushner, is sought an investment of at least $100 million from the Fund.",,Approved,,"""http://www.chicagotribune.com/business/national/ct-kushner-cadre-softbank-funds-20180522-story,amp.html""",,,,
State of Georgia,Resolved,0,,,Approved,,,1027,,,
TC Marks Buenos Aires,Active,2,,,Approved,,"https://www.reuters.com/article/us-usa-trump-argentina/trump-organization-says-it-has-no-plans-to-build-buenos-aires-tower-idUSKBN14N1W7,https://www.washingtonpost.com/politics/trumps-presidency-overseas-business-deals-and-relations-with-foreign-governments-could-all-become-intertwined/2016/11/25/d2bc83f8-b0e2-11e6-8616-52b15787add0_story.html?utm_term=.6474a90a3947",224,,,
Dominion Resources,Resolved,0,,,Approved,,,"883,884,885,888",,,
Kushner Philadelphia,Active,0,,,Approved,,,"1232,1233,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Trump Golf Management,Active,0,,,Approved,,,356,,,
Trump Virginia Acquisitions (Formerly Virginia Acquisitions),Active,0,,,Approved,,,"536,537",,,
Melania LLC,Unclear,2,,,Approved,,"http://www.mcclatchydc.com/news/politics-government/congress/article134287344.html,https://www.nbcnews.com/politics/donald-trump/news-media-paid-melania-trump-thousands-use-photos-positive-stories-n883111",,,,
Alabama St Public Sch & CLG Auth Cap Impt,Resolved,0,,,Approved,,,755,,,
State of Alabama,Resolved,0,,,Approved,,,756,,,
LW Investors,Resolved,0,,,Approved,,,"1276,1277",,,
Trump Tower Triplex,Active,0,,,Approved,,,526,,,
Templeton Global Income Fund,Resolved,0,,,Approved,,,1570,,,
Vanguard,Active,0,,,Approved,,,"Unnamed record,Unnamed record",,,
Trump Properties,Unclear,0,,status missing,Approved,,,507,,,
Gallant Funding,Resolved,0,,,Approved,,,"1014,1015",,,
Battery Park City NY Auth Senior Ser A,Resolved,0,,,Approved,,,771,,,
Tiht Holding Company,Active,0,,,Approved,,,278,,,
NEW YORK ST DORM AUTH ST PERSONAL Ser A,Unclear,0,,,Approved,,,,,,
New York St Dorm Auth St Personal Income Tax Revenue Rfdg Ser E,Unclear,0,,,Approved,,,1354,,,
KC Profit Participation,Resolved,0,,,Approved,,,1174,,,
THC Venture III (Now TTTT Venture),Active,0,,,Approved,,,,,,
Trump Marks Fine Foods,Active,0,,,Approved,,,"410,409",,,
Chatham Hill Associates,Active,1,,,Approved,,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"823,826,827,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
OppenheimerFunds,Active,0,,,Approved,,,"1417,1421",,,
Five Acre JV,Active,0,,,Approved,,,1003,,,
Bank of China,Unclear,1,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
Kushner Midwest Partners 1,Active,0,,,Approved,,,"1228,1229,773,816,817,818,855,858,1022,1023,1024,1025,1049,1230,1257,1258,1259,1308,1312,1563,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Thrive Partners III GP,Resolved,0,,,Approved,,,"Unnamed record,Unnamed record",,,
Travel Enterprises Management (Formerly Toys At Trump),Active,0,,,Approved,,,294,,,
Dt Marks Jersey City,Active,0,,,Approved,,,100,,,
Iroquois Properties Realty,Resolved,0,,,Approved,,,1059,,,
