Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior,Trump,Ivanka,Jared,Conflicting Entities,Internal Review,Draft Description
Global Gateway Alliance,Resolved,0,,,Approved,,,1028,,,,,,,,,
Goldman Sachs,Resolved,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"1029,1030",,,,checked,,,,,
Golf Productions,Active,0,,Active on Donald '17. Resolved on Ivanka '17.,Approved,,,"146,147,1031,1032",,,,,,,,,
Google,Unclear,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns shares in Google.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
Gowan Associates,Active,0,,,Approved,connected to record w/ no ID,,"1034,668,1033,1186,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
"Greenburgh, NY",Resolved,0,,,Approved,,,"1035,1036",,,,,,,,,
Hartford Funds,Active,0,,,Approved,,,"1038,1037",,,,,,,,,
Hary Tanoesoedibjo,Unclear,6,"Billionaire Hary Tanoesoedibjo, Trump's local partner in two Indonesian resort projects, is reportedly considering a run for national office in 2019.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,https://mobile.reuters.com/article/amp/idUSKCN1J12RP,https://www.nytimes.com/2018/05/28/business/ivanka-trump-china-trademarks.html,http://thehill.com/homenews/house/389571-more-than-60-dem-lawmakers-demand-ethics-investigation-into-trumps,https://www.npr.org/2018/06/07/617310039/trump-organization-deals-in-asia-fuel-debate-on-emoluments-lawsuit",,,,,checked,,,,,
Helicopter Air Services,Active,0,,,Approved,,,149,,,,,,,,,
Hennessy Funds,Resolved,0,,,Approved,,,"1040,1039",,,,,,,,,
Heritage Equities,Active,0,,,Approved,connected to record w/ no ID,,"Unnamed record,Unnamed record",,,,,,,,,
Highlander Hall,Unclear,0,,missing status,Approved,,,150,,,,,,,,,
Holds United Technologies,Unclear,2,,missing status,Approved,,"http://www.indystar.com/story/news/politics/2016/05/19/donald-trump-profited-investment-carriers-parent-company/84593308/,https://www.wsj.com/articles/donald-trump-had-investments-in-carrier-corp-s-parent-1480723443?mod=e2tw&amp;mg=id-wsj",151,,,,checked,,,,,
Home Depot,Resolved,0,,,Approved,,,"1041,1044",,,,,,,,,
Honest Buildings,Active,0,,,Approved,,,1047,,,,,,,,,
Hospital for Special Surgery,Unclear,1,"The foundation gave at least $326,000 to New York Presbyterian Hospital and $250,750 to its sister institution, the Hospital for Special Surgery, which is also based in New York City.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,,,,,checked,,,,,
How To Get Rich,Active,0,,,Approved,,,152,,,,,,,,,
Hudson Waterfront Associates,Active,0,,,Approved,,,"153,154,155,156,157,158,162,159,160,161",,,,,,,,,
Hudson Waterfront Associates I,Active,0,,,Approved,,,,,,,,,,,,
Hudson Waterfront Associates II,Active,0,,,Approved,,,,,,,,,,,,
Hudson Waterfront Associates III,Active,0,,,Approved,,,,,,,,,,,,
Hudson Waterfront Associates IV,Active,0,,,Approved,,,,,,,,,,,,
Hudson Waterfront Associates V,Active,0,,,Approved,,,,,,,,,,,,
HWA 555 Owners,Active,0,,,Approved,,,,,,,,,,,,
HWA 1290 Ill,Active,0,,,Approved,,,,,,,,,,,,
HWA 1290 IV,Active,0,,,Approved,,,,,,,,,,,,
HWA 1290 V,Active,0,,,Approved,,,,,,,,,,,,
Hyde Park,Active,0,,,Approved,,,163,,,,,,,,,
IDB Bank,Active,0,,,Approved,,,"1051,1050",,,,,,,,,
Identity Theft Productions,Unclear,0,,,Approved,,,"603,620",,,,,,,,,
Indian Hills Holdings (formerly Indian Hills Development),Active,0,,,Approved,,,164,,,,,,,,,
Internal Revenue Service,Unclear,24,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"http://www.newsweek.com/where-trump-irs-tax-audit-letter-488904,https://www.washingtonpost.com/politics/new-york-files-suit-against-president-trump-alleging-his-charity-engaged-in-illegal-conduct/2018/06/14/c3cbf71e-6fc9-11e8-bd50-b80389a4e569_story.html?utm_term=.4ceb5b79cb06,https://www.npr.org/2018/06/15/620230403/legal-defense-funds-for-trump-allies-multiply,https://www.npr.org/2018/06/14/619959270/new-yorks-attorney-general-sues-the-trump-foundation,https://www.npr.org/2018/06/14/619974462/n-y-attorney-general-files-suit-against-trump-foundation,https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-sues-trump-foundation-what-might-happen-n883901,https://edition.cnn.com/2018/06/19/politics/trump-foundation-q-and-a/,https://www.bloomberg.com/news/articles/2018-02-15/kushner-investors-said-to-be-subpoenaed-by-u-s-tax-authorities?utm_content=politics&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-politics,https://www.cnn.com/2018/06/28/politics/trump-irs-nominee-charles-rettig/index.html,http://www.newsweek.com/donald-trump-irs-nominee-hotel-999627?amp=1,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992,https://www.politico.com/magazine/story/2018/08/17/ivanka-trump-business-partner-justice-department-lawsuit-moshe-lax-219369,https://www.cnn.com/2018/09/05/politics/trump-tax-returns/index.html,https://www.nytimes.com/interactive/2018/10/02/us/politics/donald-trump-tax-schemes-fred-trump.html,https://www.washingtonpost.com/politics/federal_government/meet-the-house-democrats-who-will-be-running-the-show/2018/11/12/40ea846a-e63d-11e8-8449-1ff263609a31_story.html?utm_term=.77c7103b9287,https://www.nytimes.com/2018/10/13/business/jared-kushner-taxes.html,https://amp.cnn.com/cnn/2018/11/30/politics/house-democrats-trump-tax-returns-government-reform/index.html,https://www.apnews.com/41847c1548e34d0ba8c339836b86ed93,https://www.washingtonpost.com/business/business-highlights/2018/12/04/c839b0b6-f818-11e8-8642-c9718a256cbd_story.html?utm_term=.275c3412e24b,https://www.washingtonpost.com/business/ap-ivanka-kushner-could-profit-from-tax-break-they-pushed/2018/12/11/a95d791a-fda5-11e8-a17e-162b712e8fc2_story.html?utm_term=.f25be6d735f8,https://abcnews.go.com/amp/Business/wireStory/kushners-buying-4th-jersey-property-tax-break-zone-59943879,https://www.cnn.com/2019/01/04/politics/crew-ivanka-trump-opportunity-zones/index.html?no-st=1547064884,https://www.propublica.org/article/trump-inc-podcast-trump-inauguration-chief-tom-barrack-rules-for-success",,,,,checked,,,,,
Invesco,Active,0,,,Approved,,,"1465,1467,1469,1464,1466,1468",,,,,,,,,
Investors Savings Bank,Active,2,,,Approved,3/16/2019 HN: @Lynn Walsh Here's another draft description. ,"https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-subpoenas-banks-about-trump-projects-n982291,https://www.nbcbayarea.com/news/politics/New-York-Attorney-Probing-Trump-Business-Deals-507038091.html","1056,1055,Unnamed record",,,,checked,,,,requires review,"Prior to presidency, Investors Savings Bank loaned Donald Trump between $5 million and $25 million for Trump Park Avenue. The mortgage debt, which matures in 2020, is one of several debts under scrutiny by the New York Attorney General and Congressional investigators following Trump attorney Michael Cohen’s testimony that Trump over-stated his financial worth to establish higher lines of credit. "
Iroquois Properties,Active,0,,,Approved,connected to record w/ no ID,,"1057,1058,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
Iroquois Properties Realty,Resolved,0,,,Approved,,,1059,,,,,,,,,
IT Apparel,Resolved,0,,,Approved,,,"1074,1075",,,,,,,,,
IT Collection,Active,0,,,Approved,,,"1078,1103",,,,,,,,,
IT International,Resolved,0,,,Approved,,,"1089,1090",,,,,,,,,
IT Investors,Resolved,0,,,Approved,,,1091,,,,,,,,,
IT Operations,Active,0,,,Approved,,,"1094,1095,1072,1073,1076,1077,1079,1080,1081,1082,1084,1083,1085,1086,1087,1088,1104,1108,1107,1110,1109",,,,,,,,,
IT Outerwear,Resolved,0,,,Approved,,,"1096,1097",,,,,,,,,
IT Promotions,Active,0,,,Approved,,,1098,,,,,,,,,
IT Properties,Resolved,0,,,Approved,,,1099,,,,,,,,,
ITJK Investments,Resolved,0,,,Approved,,,1102,,,,,,,,,
Ivanka M. Trump Charitable Fund,Unclear,2,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,http://money.cnn.com/2018/06/11/news/ivanka-trump-jared-kushner-finances/index.html",,,,,,checked,,,,
Ivanka Trump brand,Unclear,16,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.nytimes.com/2018/05/28/business/ivanka-trump-china-trademarks.html,https://www.npr.org/2018/06/12/619101573/ivanka-trump-and-jared-kushner-earned-more-than-80-million-last-year-filings-sho,http://money.cnn.com/2018/06/11/news/ivanka-trump-jared-kushner-finances/index.html,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2018/07/16/canadas-biggest-clothing-store-just-pulled-ivanka-trumps-brand-from-its-shelves/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html,https://www.cnn.com/2018/07/24/politics/ivanka-trump-brand-company/index.html,https://www.theatlantic.com/amp/article/566051/,https://www.businessinsider.com/ivanka-trump-closing-fashion-business-ethics-experts-respond-2018-7,https://www.businessinsider.com/ivanka-trump-store-permanently-shut-down-2018-8,https://www.politico.com/magazine/story/2018/08/17/ivanka-trump-business-partner-justice-department-lawsuit-moshe-lax-219369,https://www.businessinsider.com/ivanka-trump-brand-website-shuts-down-2018-8,https://www.cnn.com/2018/11/06/politics/ivanka-trump-trademarks/index.html,https://www.washingtonpost.com/world/asia_pacific/china-greenlights-large-batch-of-ivanka-trump-trademark-applications/2018/11/06/c085e88c-e1c8-11e8-a1c9-6afe99dddd92_story.html?utm_term=.8d0bb6058cd8,https://amp.businessinsider.com/ivanka-trump-jared-kushner-net-worth-2019-1,https://www.cbsnews.com/amp/news/ivanka-trump-receives-5-trademarks-from-china-amid-trade-talks/,https://www.cbsnews.com/amp/news/ivanka-trump-receives-5-trademarks-from-china-amid-trade-talks/",,,,,,checked,,,,
Ivanka Trump Business Trust,Active,2,"Created in March 2017, the trust is valued at more than $50 million.","Listed in Ivanka '17 as ""Ivanka M. Trump Business Trust (IT Collection LLC, Holding Company In New York NY)) (Income for Period March 9, 2017 - May 31, 2017)""",Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"http://money.cnn.com/2018/06/11/news/ivanka-trump-jared-kushner-finances/index.html,https://amp.businessinsider.com/ivanka-trump-jared-kushner-net-worth-2019-1",,,,,,checked,,,,
Ivanka Trump Fine Jewelry,,2,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.politico.com/magazine/story/2018/08/17/ivanka-trump-business-partner-justice-department-lawsuit-moshe-lax-219369,https://www.cbsnews.com/amp/news/ivanka-trump-receives-5-trademarks-from-china-amid-trade-talks/",,,,,,checked,,,,
Ivanka Trump Marks,Active,2,,,Approved,,"https://amp.businessinsider.com/ivanka-trump-jared-kushner-net-worth-2019-1,https://www.cbsnews.com/amp/news/ivanka-trump-receives-5-trademarks-from-china-amid-trade-talks/",1111,,,,,checked,,,,
Janus Henderson Investors,Active,0,,,Approved,,,"1113,1112",,,,,,,,,
JCK Cadre,Active,0,,,Approved,,,,,,,,,,,,
JK Thrive IV,Resolved,0,,,Approved,connected to record w/ no ID,,"1117,1118,Unnamed record",,,,,,,,,
JK THRIVE V,Resolved,0,,,Approved,connected to record w/ no ID,,"1119,1120,Unnamed record",,,,,,,,,
JK2 Westminster,Resolved,0,,,Approved,,,1121,,,,,,,,,
JKM Capital,Resolved,0,,,Approved,,,"1122,1123",,,,,,,,,
Johnson & Johnson,Unclear,1,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
Jose E. B. Antonio,Unclear,1,"In October 2016 he had quietly been named a special envoy to the United States by the Philippine president, Rodrigo Duterte. Mr. Antonio was nearly finished building a $150 million tower in Manila’s financial district — a 57-story symbol of affluence and capitalism, which bluntly promotes itself with the slogan “Live Above the Rest.” And now his partner on the project, Donald J. Trump, had just been elected president of the United States.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,,,,,checked,,,,,
JP Morgan,Active,0,,,Approved,,,"1125,1127,1129,1131,1128,1124,1126,1130,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
JP Morgan Chase,Unclear,2,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html",,,,,checked,,,,,
Jupiter Golf Club,Active,1,,,Approved,,https://www.washingtonpost.com/politics/the-three-biggest-surprises-in-the-trump-organizations-financial-filings/2018/05/21/db2f0420-5c94-11e8-9ee3-49d6d4814c4c_story.html?utm_term=.64de8850a39d,"166,167,1132,1133",,,,checked,,,,,
K 26 Journal Square,Active,1,,,Approved,connected to record w/ no ID,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"1135,1134,1163,1165,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,checked,,,
K 30 Journal Square,Active,1,,,Approved,connected to unnamed record,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"1140,704,1139,Unnamed record,1138,1137,1136",,,,,,checked,,,
K Astoria,Active,0,,,Approved,connected to record w/ no ID,,"1143,807,808,809,810,1142,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
K Astoria I,Resolved,0,,,Approved,,,1141,,,,,,,,,
K Gaia Village  2 Associates,Active,0,,,Approved,connected to record w/ no ID,,"1146,1147,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
K Gaia Village 1 Associates,Active,0,,,Approved,connected to record w/ no ID,,"1144,659,666,698,707,708,718,725,751,1145,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
K Maryland Associates,Active,0,,,Approved,connected to record w/ no ID,,"1148,1149,1284,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
K One Journal Square,Resolved,1,,,Approved,connected to unnamed record,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"1158,1156,1164,1407,1408,1409,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,1157",,,,,,checked,,,
K Stonehage Village 1 Associates,Active,0,,,Approved,connected to unnamed record,,"1159,978,979,980,981,1160,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,980 copy",,,,,,,,,
Kaszek Ventures II,Resolved,0,,,Approved,,,"1166,1167",,,,,,,,,
Kay & ARR Realty Associates,Active,0,,,Approved,,,"1169,1168",,,,,,,,,
KC Dumbo,Active,0,,,Approved,,,"1170,1171,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,1173,1172",,,,,,,,,
KC Profit Participation,Resolved,0,,,Approved,,,1174,,,,,,,,,
KCOF-215 Moore,Active,0,,,Approved,,,"1189,1188",,,,,,,,,
KF Middle River,Active,0,,,Approved,connected to record w/ no ID,,"1191,1194,1307,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
KF Westwood Partner,Active,0,,,Approved,,,"1195,1197,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,1162",,,,,,,,,
KF- C-III Recovery Fund II,Resolved,0,,,Approved,,,"1200,1201",,,,,,,,,
KF-BLS Member,Active,0,,,Approved,connected to record w/ no ID,,"1208,655,662,669,699,710,749,778,1161,1209,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
KF-WIP Co. Investors,Active,0,,,Approved,,,"1213,1212",,,,,,,,,
KFF 29 Second Avenue,Active,0,,,Approved,,,"700,1214,1215,Unnamed record,701",,,,,,,,,
Kinder Morgan,Unclear,1,"The connections to the energy industry doesn't stop there. The climate-change skeptic owns shares in Phillips 66 PSX -1.26% - a joint venture partner in the controversial Dakota Access pipeline, where demonstrations are ongoing, and in Kinder Morgan, another pipeline giant facing resistance for its plans to connect the Canadian oil sands to Vancouver, British Columbia.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
KKC Associates,Active,0,,,Approved,connected to record w/ no ID,,"1218,1217,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
Korean Aerospace Industries,Unclear,2,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.citizen.org/sites/default/files/may_2018_cohen_complaint_final.pdf,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html",,,,,checked,,,,,
Kushner Companies,Active,30,,,Approved,,"https://www.usatoday.com/story/news/2018/06/07/cozy-land-deals-meant-big-money-trump-family-and-friends/677126002/,https://amp.businessinsider.com/charles-kushner-qatar-finance-minister-meeting-666-fifth-ave-2018-6,https://www.nytimes.com/2018/05/17/nyregion/kushner-deal-qatar-666-5th.html,https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,https://www.bloomberg.com/amp/news/articles/2018-03-13/kushner-conflict-cloud-hovers-over-brooklyn-sale-linked-to-japan,https://mobile.nytimes.com/2018/03/10/business/trumps-kushners-hotel-deals.html?referer=https://amp-cnn-com.cdn.ampproject.org/c/s/amp.cnn.com/cnn/2018/03/11/politics/new-york-times-jared-kushner-donald-trump-hotel/index.html,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,https://www.npr.org/2018/06/12/619101573/ivanka-trump-and-jared-kushner-earned-more-than-80-million-last-year-filings-sho,https://www.bloomberg.com/news/articles/2018-02-15/kushner-investors-said-to-be-subpoenaed-by-u-s-tax-authorities?utm_content=politics&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-politics,https://www.theguardian.com/us-news/2018/feb/04/jared-kushner-property-empire-trump,http://money.cnn.com/2018/06/11/news/ivanka-trump-jared-kushner-finances/index.html,https://www.washingtonpost.com/politics/kushners-ties-to-israeli-firms-at-issue-as-he-visits-region-on-peace-mission/2018/06/21/cc3a3438-730c-11e8-9780-b1dd6a09b549_story.html?utm_term=.88424d3f7ac4,https://mobile.nytimes.com/2018/06/21/business/trumps-kushners-end-hotel-deals.html,https://www.nytimes.com/2018/07/11/business/jared-kushner-business-washington.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://www.bloomberg.com/amp/news/articles/2018-08-04/kushners-give-up-control-of-manhattan-tower-to-save-themselves,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,https://www.nytimes.com/2018/08/27/nyregion/kushner-cohen-rent-regulated-tenants.html,https://pagesix.com/2018/11/19/jared-and-josh-kushner-buying-luxe-lower-east-side-hotel/,https://www.cnn.com/2018/12/12/politics/trump-kushner-opportunity-zone/index.html,https://www.washingtonpost.com/business/ap-ivanka-kushner-could-profit-from-tax-break-they-pushed/2018/12/11/a95d791a-fda5-11e8-a17e-162b712e8fc2_story.html?utm_term=.f25be6d735f8,https://www.apnews.com/41847c1548e34d0ba8c339836b86ed93,https://www.cnn.com/2018/12/20/politics/kushner-white-house-foia/index.html,https://abcnews.go.com/amp/Business/wireStory/kushners-buying-4th-jersey-property-tax-break-zone-59943879,https://amp.businessinsider.com/ivanka-trump-jared-kushner-net-worth-2019-1,https://www.cnn.com/2019/01/04/politics/crew-ivanka-trump-opportunity-zones/index.html?no-st=1547064884,https://www.bloomberg.com/amp/news/articles/2019-02-22/kushner-cos-said-to-seek-federal-loan-in-biggest-deal-in-decade,https://www.apnews.com/879e975264c4440a910082bc1c3c2e9a,https://www.wsj.com/amp/articles/kushner-cos-scaling-back-in-new-york-as-public-scrutiny-heats-up-11552993200",1221,,,,,,checked,,,
Kushner Credit Opportunity Fund,Active,0,,,Approved,,,"1222,1223",,,,,,,,,
Kushner Family Foundation,Active,0,,,Approved,,,1224,,,,,,,,,
Kushner Journal Square,Active,0,,,Approved,connected to record w/ no ID,,"Unnamed record,Unnamed record",,,,,,,,,
Kushner Midwest Partners 1,Active,0,,,Approved,connected to record w/ no ID,,"1229,773,816,817,818,855,858,1022,1023,1024,1025,1049,1230,1257,1258,1259,1308,1312,1563,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
Kushner Philadelphia,Active,0,,,Approved,connected to record w/ no ID,,"1232,1233,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
Kushner Village 2,Resolved,0,,,Approved,,,"1235,1236",,,,,,,,,
Lacey Township Building Corp.,Active,0,,,Approved,,,1241,,,,,,,,,
